"Name";"List of interests-value";"List of studies-value";"Professional Experience-value"
"thomasg 13";"[{""desc"":""Startup communities and innovation events."",""title"":""Entrepreneurship""},{""desc"":""Competitive sailing (6 years)."",""title"":""Sports""}]";"[{""dates"":""1 Sep 2021 - 1 Jun 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""Nantes"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""1 Sep 2020 - 1 Jun 2021"",""field"":""not found"",""university"":""Lycée Clémenceau"",""country or city"":""Nantes"",""level_of_degree"":""Baccalauréat (Maths & Economics)""}]";"[{""dates"":""[ 1 Jan 2023 - 1 Jan 2026 ]"",""company"":""E GreenMove (Student Startup)"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes, France""},{""dates"":""[ 1 Jun 2023 - 1 Aug 2023 ]"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes, France""}]"
"thomasg 12";"[{""desc"":""Startup communities and innovation events."",""title"":""Entrepreneurship""},{""desc"":""Competitive sailing (6 years)."",""title"":""Sports""}]";"[{""dates"":""1 SEP 2021 - 1 JUN 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""Nantes, France"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""1 SEP 2020 - 1 JUN 2021"",""field"":""not found"",""university"":""Lycée Clémenceau"",""country or city"":""Nantes, France"",""level_of_degree"":""Baccalauréat (Maths & Economics)""}]";"[{""dates"":""1 Jan 2023 - 1 Jan 2026"",""company"":""GreenMove"",""job title"":""Co-founder & Operations Manager"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""Nantes, France""},{""dates"":""1 Jun 2023 - 1 Aug 2023"",""company"":""Startup Incubator"",""job title"":""Business Development Intern"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""Nantes, France""}]"
"thomasg 11";"[{""desc"":""Startup communities and innovation events."",""title"":""Entrepreneurship""},{""desc"":""(6 years)."",""title"":""Competitive sailing""}]";"[{""dates"":""1 SEP 2021 - 1 JUN 2024"",""field"":""not found"",""university"":""University of Nantes"",""country or city"":""Nantes, France"",""level_of_degree"":""Bachelor in Economics & Management""},{""dates"":""1 SEP 2020 - 1 JUN 2021"",""field"":""not found"",""university"":""Lycée Clémenceau"",""country or city"":""Nantes, France"",""level_of_degree"":""Baccalauréat (Maths & Economics)""}]";"[{""dates"":""1 Jan 2023 - 1 Jan 2026"",""company"":""GREENMOVE"",""job title"":""CO-FOUNDER & OPERATIONS MANAGER"",""description"":""Co-founded a sustainable mobility startup offering shared electric bikes for students. Managed daily operations and partnerships with local institutions. Built financial forecasts and monitored monthly cash flow. Led customer acquisition campaigns, reaching over 1,000 registered users."",""country or city"":""NANTES, FRANCE""},{""dates"":""1 Jun 2023 - 1 Aug 2023"",""company"":""STARTUP INCUBATOR"",""job title"":""BUSINESS DEVELOPMENT INTERN"",""description"":""Supported early-stage startups in market analysis and go-to-market strategy. Assisted entrepreneurs in preparing pitch decks for investors. Participated in mentoring sessions and demo days."",""country or city"":""NANTES, FRANCE""}]"
"sarah 14";"[{""desc"":""Lifestyle and travel portfolio on Instagram."",""title"":""Photography""},{""desc"":""Fashion, consumer trends, contemporary art."",""title"":""Trends""}]";"[{""dates"":""1 Sep 2022 - 1 Jun 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""1 Sep 2021 - 1 Jun 2022"",""field"":""not found"",""university"":""Lycée Thiers"",""country or city"":""Marseille"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""[ 1 Jun 2024 - 1 Dec 2024 ]"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris""},{""dates"":""[ 1 Sep 2023 - 1 May 2024 ]"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille""}]"
"sarah 13";"[{""desc"":""Lifestyle and travel portfolio on Instagram."",""title"":""Photography""},{""desc"":""Fashion, consumer trends, contemporary art."",""title"":""Trends""}]";"[{""dates"":""1 Sep 2022 - 1 Jun 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""1 Sep 2021 - 1 Jun 2022"",""field"":""not found"",""university"":""Lycée Thiers"",""country or city"":""Marseille"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""[ 1 Jun 2024 - 1 Dec 2024 ]"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris, France""},{""dates"":""[ 1 Sep 2023 - 1 May 2024 ]"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille, France""}]"
"sarah 12";"[{""desc"":""Lifestyle and travel portfolio on Instagram."",""title"":""Photography""},{""desc"":""Fashion, consumer trends, contemporary art."",""title"":""Trends""}]";"[{""dates"":""1 SEP 2022 - 1 JUN 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille, France"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""1 SEP 2021 - 1 JUN 2022"",""field"":""not found"",""university"":""Lycée Thiers"",""country or city"":""Marseille, France"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""1 Jun 2024 - 1 Dec 2024"",""company"":""L'Oréal France"",""job title"":""Marketing Intern"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""Paris, France""},{""dates"":""1 Sep 2023 - 1 May 2024"",""company"":""E-commerce Startup"",""job title"":""Digital Marketing Assistant"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""Marseille, France""}]"
"sarah 11";"[{""desc"":""Lifestyle and travel portfolio on Instagram."",""title"":""Photography""},{""desc"":null,""title"":""Trends""},{""desc"":null,""title"":""Fashion, consumer trends, contemporary art.""}]";"[{""dates"":""1 SEP 2022 - 1 JUN 2025"",""field"":""not found"",""university"":""KEDGE Business School"",""country or city"":""Marseille, France"",""level_of_degree"":""Bachelor in Business Administration""},{""dates"":""1 SEP 2021 - 1 JUN 2022"",""field"":""not found"",""university"":""Lycée Thiers"",""country or city"":""Marseille, France"",""level_of_degree"":""Baccalauréat (Economics & Social Sciences)""}]";"[{""dates"":""1 Jun 2024 - 1 Dec 2024"",""company"":""L'ORÉAL FRANCE"",""job title"":""MARKETING INTERN"",""description"":""Assisted brand managers in the preparation and launch of new skincare products. Analyzed sales performance and campaign KPIs using Excel and internal dashboards. Coordinated with creative agencies and influencers for digital campaigns. Conducted competitive analysis and consumer trend monitoring."",""country or city"":""PARIS, FRANCE""},{""dates"":""1 Sep 2023 - 1 May 2024"",""company"":""E-COMMERCE STARTUP"",""job title"":""DIGITAL MARKETING ASSISTANT"",""description"":""Managed social media content calendars (Instagram, TikTok). Monitored online performance metrics and engagement rates. Supported SEO optimization and newsletter campaigns."",""country or city"":""MARSEILLE, FRANCE""}]"
"maxime 14";"[{""desc"":""Industry 4.0 and automation."",""title"":""Innovation""},{""desc"":""Competitive basketball."",""title"":""Sports""}]";"[{""dates"":""1 Sep 2021 - 1 Jun 2024"",""field"":""not found"",""university"":""IMT Nord Europe"",""country or city"":""Lille"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""1 Sep 2020 - 1 Jun 2021"",""field"":""not found"",""university"":""Lycée Faidherbe"",""country or city"":""Lille"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]";"[{""dates"":""[ 1 Jun 2024 - 1 Sep 2024 ]"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille | Country: France""},{""dates"":""[ 1 Feb 2024 - 1 May 2024 ]"",""company"":""Academic"",""job title"":""Supply Chain Project"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille\nCountry: France""}]"
"maxime 13";"[{""desc"":""Industry 4.0 and automation."",""title"":""Innovation""},{""desc"":""Competitive basketball."",""title"":""Sports""}]";"[{""dates"":""1 Sep 2021 - 1 Jun 2024"",""field"":""not found"",""university"":""IMT Nord Europe"",""country or city"":""Lille | France"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""1 Sep 2020 - 1 Jun 2021"",""field"":""not found"",""university"":""Lycée Faidherbe"",""country or city"":""Lille"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]";"[{""dates"":""[ 1 Jun 2024 - 1 Sep 2024 ]"",""company"":""Decathlon Logistics"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""Lille, France""},{""dates"":""[ 1 Feb 2024 - 1 May 2024 ]"",""company"":""Academic"",""job title"":""Supply Chain Project"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""Lille, France""}]"
"maxime 12";"[{""desc"":""Industry 4.0 and automation."",""title"":""Innovation""},{""desc"":""Competitive basketball."",""title"":""Sports""}]";"[{""dates"":""1 SEP 2021 - 1 JUN 2024"",""field"":""not found"",""university"":""IMT Nord Europe"",""country or city"":""Lille, France"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""1 SEP 2020 - 1 JUN 2021"",""field"":""not found"",""university"":""Lycée Faidherbe"",""country or city"":""Lille, France"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]";"[{""dates"":""1 Jun 2024 - 1 Sep 2024"",""company"":""Decathlon Logistics Lille, France"",""job title"":""Operations Intern"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""not found""},{""dates"":""1 Feb 2024 - 1 May 2024"",""company"":""Academic Lille, France"",""job title"":""Supply Chain Project"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""not found""}]"
"maxime 11";"[{""desc"":""Industry 4.0 and automation."",""title"":""Innovation""},{""desc"":""Competitive basketball."",""title"":""Sports""}]";"[{""dates"":""1 SEP 2021 - 1 JUN 2024"",""field"":""not found"",""university"":""IMT Nord Europe"",""country or city"":""Lille, France"",""level_of_degree"":""Bachelor in Industrial Engineering & Management""},{""dates"":""1 SEP 2020 - 1 JUN 2021"",""field"":""not found"",""university"":""Lycée Faidherbe"",""country or city"":""Lille, France"",""level_of_degree"":""Baccalauréat (Maths & Engineering)""}]";"[{""dates"":""1 Jun 2024 - 1 Sep 2024"",""company"":""DECATHLON LOGISTICS"",""job title"":""OPERATIONS INTERN"",""description"":""Analyzed warehouse processes and identified efficiency improvement areas. Supported the implementation of lean management tools. Built performance dashboards to monitor key operational indicators."",""country or city"":""LILLE, FRANCE""},{""dates"":""1 Feb 2024 - 1 May 2024"",""company"":""not found"",""job title"":""SUPPLY CHAIN PROJECT - ACADEMIC"",""description"":""Modeled supply chain flows and demand forecasts for a retail company. Proposed inventory optimization strategies to reduce stockouts."",""country or city"":""LILLE, FRANCE""}]"
"louis 14";"[{""desc"":""Transforming complex data into clear insights."",""title"":""Data Visualization""},{""desc"":""Hiking and trail running."",""title"":""Sports""}]";"{""studies"":[{""dates"":""[ 1 Sep 2021 - 1 Jun 2024 ]"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""[ 1 Sep 2020 - 1 Jun 2021 ]"",""field"":""not found"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""Baccalauréat (Maths & Physics)""}]}";"[{""dates"":""[ 1 Jun 2024 - 1 Sep 2024 ]"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL. Built dashboards to support marketing and pricing decisions. Presented insights to non-technical stakeholders."",""country or city"":""Lyon, France""},{""dates"":""[ 1 Jan 2024 - 1 May 2024 ]"",""company"":""Academic Team"",""job title"":""Business Analytics Project"",""description"":""Worked in a team to analyze sales performance for a retail chain. Developed forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble, France""}]"
"louis 13";"[{""desc"":""Transforming complex data into clear insights."",""title"":""Data Visualization""},{""desc"":""Hiking and trail running."",""title"":""Sports""}]";"[{""dates"":""1 Sep 2021 - 1 Jun 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""1 Sep 2020 - 1 Jun 2021"",""field"":""not found"",""university"":""Lycée Champollion"",""country or city"":""Grenoble"",""level_of_degree"":""Baccalauréat (Maths & Physics)""}]";"[{""dates"":""[ 1 Jun 2024 - 1 Sep 2024 ]"",""company"":""E Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL. Built dashboards to support marketing and pricing decisions. Presented insights to non-technical stakeholders."",""country or city"":""Lyon, France""},{""dates"":""[ 1 Jan 2024 - 1 May 2024 ]"",""company"":""E Academic Team"",""job title"":""Business Analytics Project"",""description"":""Worked in a team to analyze sales performance for a retail chain. Developed forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble, France""}]"
"louis 12";"[{""desc"":""Transforming complex data into clear insights."",""title"":""Data Visualization""},{""desc"":""Hiking and trail running."",""title"":""Sports""}]";"[{""dates"":""1 SEP 2021 - 1 JUN 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble, France"",""level_of_degree"":""Bachelor in Applied Mathematics & Economics""},{""dates"":""1 SEP 2020 - 1 JUN 2021"",""field"":""not found"",""university"":""Lycée Champollion"",""country or city"":""Grenoble, France"",""level_of_degree"":""Baccalauréat (Maths & Physics)""}]";"[{""dates"":""1 Jun 2024 - 1 Sep 2024"",""company"":""Retail Analytics Company"",""job title"":""Data Analyst Intern"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL. Built dashboards to support marketing and pricing decisions. Presented insights to non-technical stakeholders."",""country or city"":""Lyon, France""},{""dates"":""1 Jan 2024 - 1 May 2024"",""company"":""Academic Team"",""job title"":""Business Analytics Project"",""description"":""Worked in a team to analyze sales performance for a retail chain. Developed forecasting models and recommendations for inventory optimization."",""country or city"":""Grenoble, France""}]"
"louis 11";"[{""desc"":""Transforming complex data into clear insights."",""title"":""Data Visualization""},{""desc"":null,""title"":""Sports""},{""desc"":null,""title"":""Hiking""},{""desc"":null,""title"":""trail running""}]";"[{""dates"":""1 SEP 2021 - 1 JUN 2024"",""field"":""not found"",""university"":""Université Grenoble Alpes"",""country or city"":""Grenoble, France"",""level_of_degree"":""BACHELOR IN APPLIED MATHEMATICS & ECONOMICS""},{""dates"":""1 SEP 2020 - 1 JUN 2021"",""field"":""not found"",""university"":""Lycée Champollion"",""country or city"":""Grenoble, France"",""level_of_degree"":""BACCALAURÉAT (MATHS & PHYSICS)""}]";"[{""dates"":""1 Jun 2024 - 1 Sep 2024"",""company"":""RETAIL ANALYTICS COMPANY"",""job title"":""DATA ANALYST INTERN"",""description"":""Cleaned and analyzed large customer datasets using Python and SQL. Built dashboards to support marketing and pricing decisions. Presented insights to non-technical stakeholders."",""country or city"":""LYON, FRANCE""},{""dates"":""1 Jan 2024 - 1 May 2024"",""company"":""ACADEMIC TEAM"",""job title"":""BUSINESS ANALYTICS PROJECT"",""description"":""Worked in a team to analyze sales performance for a retail chain. Developed forecasting models and recommendations for inventory optimization."",""country or city"":""GRENOBLE, FRANCE""}]"
"ines 14";"[{""desc"":""Economic conferences and policy forums."",""title"":""Public Debate""},{""desc"":""Tutor for underprivileged high school students."",""title"":""Volunteering""}]";"[{""dates"":""1 Sep 2022 - 1 Jun 2025"",""field"":""not found"",""university"":""Sciences Po Paris"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics & Social Sciences""},{""dates"":""1 Sep 2021 - 1 Jun 2022"",""field"":""not found"",""university"":""Lycée Henri-IV"",""country or city"":""Paris"",""level_of_degree"":""Baccalauréat (Economics)""}]";"[{""dates"":""[ 1 Sep 2024 - 1 Feb 2025 ]"",""company"":""French Economic Think Tank"",""job title"":""Policy Research Assistant"",""description"":""Conducted literature reviews and data analysis for policy briefs. Contributed to reports on labor market reforms and public spending efficiency. Participated in stakeholder interviews and policy workshops."",""country or city"":""Paris, France""},{""dates"":""[ 1 Jun 2024 - 1 Aug 2024 ]"",""company"":""Ministry of Economy and Finance"",""job title"":""Public Affairs Intern"",""description"":""Assisted senior analysts in economic impact assessments. Prepared briefing notes and synthesis documents for internal use. Monitored legislative developments related to economic policy."",""country or city"":""Paris, France""}]"
"ines 13";"[{""desc"":""Economic conferences and policy forums."",""title"":""Public Debate""},{""desc"":""Tutor for underprivileged high school students."",""title"":""Volunteering""}]";"[{""dates"":""1 Sep 2022 - 1 Jun 2025"",""field"":""not found"",""university"":""Sciences Po Paris"",""country or city"":""Paris, France"",""level_of_degree"":""Bachelor in Economics & Social Sciences""},{""dates"":""1 Sep 2021 - 1 Jun 2022"",""field"":""not found"",""university"":""Lycée Henri-IV"",""country or city"":""Paris, France"",""level_of_degree"":""Baccalauréat (Economics)""}]";"[{""dates"":""[ 1 Sep 2024 - 1 Feb 2025 ]"",""company"":""French Economic Think Tank"",""job title"":""Policy Research Assistant"",""description"":""Conducted literature reviews and data analysis for policy briefs. Contributed to reports on labor market reforms and public spending efficiency. Participated in stakeholder interviews and policy workshops."",""country or city"":""Paris, France""},{""dates"":""[ 1 Jun 2024 - 1 Aug 2024 ]"",""company"":""Ministry of Economy and Finance"",""job title"":""Public Affairs Intern"",""description"":""Assisted senior analysts in economic impact assessments. Prepared briefing notes and synthesis documents for internal use. Monitored legislative developments related to economic policy."",""country or city"":""Paris, France""}]"
"ines 12";"[{""desc"":""Economic conferences and policy forums."",""title"":""Public Debate""},{""desc"":""Tutor for underprivileged high school students."",""title"":""Volunteering""}]";"[{""dates"":""1 SEP 2022 - 1 JUN 2025"",""field"":""not found"",""university"":""Sciences Po Paris"",""country or city"":""Paris, France"",""level_of_degree"":""Bachelor in Economics & Social Sciences""},{""dates"":""1 SEP 2021 - 1 JUN 2022"",""field"":""not found"",""university"":""Lycée Henri-IV"",""country or city"":""Paris, France"",""level_of_degree"":""Baccalauréat (Economics)""}]";"[{""dates"":""1 Sep 2024 - 1 Feb 2025"",""company"":""French Economic Think Tank"",""job title"":""Policy Research Assistant"",""description"":""Conducted literature reviews and data analysis for policy briefs. Contributed to reports on labor market reforms and public spending efficiency. Participated in stakeholder interviews and policy workshops."",""country or city"":""Paris, France""},{""dates"":""1 Jun 2024 - 1 Aug 2024"",""company"":""Ministry of Economy and Finance"",""job title"":""Public Affairs Intern"",""description"":""Assisted senior analysts in economic impact assessments. Prepared briefing notes and synthesis documents for internal use. Monitored legislative developments related to economic policy."",""country or city"":""Paris, France""}]"
"ines 11";"[{""desc"":""Economic conferences and policy forums."",""title"":""Public Debate""},{""desc"":""Tutor for underprivileged high school students."",""title"":""Volunteering""}]";"[{""dates"":""1 SEP 2022 - 1 JUN 2025"",""field"":""not found"",""university"":""Sciences Po Paris"",""country or city"":""Paris, France"",""level_of_degree"":""Bachelor in Economics & Social Sciences""},{""dates"":""1 SEP 2021 - 1 JUN 2022"",""field"":""not found"",""university"":""Lycée Henri-IV"",""country or city"":""Paris, France"",""level_of_degree"":""Baccalauréat (Economics)""}]";"[{""dates"":""1 Sep 2024 - 1 Feb 2025"",""company"":""FRENCH ECONOMIC THINK TANK"",""job title"":""POLICY RESEARCH ASSISTANT"",""description"":""Conducted literature reviews and data analysis for policy briefs. Contributed to reports on labor market reforms and public spending efficiency. Participated in stakeholder interviews and policy workshops."",""country or city"":""PARIS, FRANCE""},{""dates"":""1 Jun 2024 - 1 Aug 2024"",""company"":""MINISTRY OF ECONOMY AND FINANCE"",""job title"":""PUBLIC AFFAIRS INTERN"",""description"":""Assisted senior analysts in economic impact assessments. Prepared briefing notes and synthesis documents for internal use. Monitored legislative developments related to economic policy."",""country or city"":""PARIS, FRANCE""}]"
"hugo 14";"[{""desc"":null,""title"":""Stock market investing""},{""desc"":null,""title"":""Chess""},{""desc"":null,""title"":""Marathon training""}]";"[{""dates"":""[ 1 Sep 2021 - 1 Jun 2024 ]"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""[ 1 Sep 2020 - 1 Jun 2021 ]"",""field"":""not found"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris"",""level_of_degree"":""Baccalauréat (Maths & Physics)""}]";"[{""dates"":""[ 1 Jun 2024 - 1 Aug 2024 ]"",""company"":""Société Générale CIB"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation. Prepared pitchbooks and market analysis for M&A transactions. Conducted comparable companies and precedent transactions analyses."",""country or city"":""Paris | Country: France""},{""dates"":""[ 1 Jan 2024 - 1 May 2024 ]"",""company"":""Student Investment Fund"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs. Built LBO models and investment memos."",""country or city"":""Paris\nCountry: France""}]"
"hugo 13";"[{""desc"":null,""title"":""Stock market investing""},{""desc"":null,""title"":""Chess""},{""desc"":null,""title"":""Marathon training""}]";"[{""dates"":""1 Sep 2021 - 1 Jun 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""1 Sep 2020 - 1 Jun 2021"",""field"":""not found"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris"",""level_of_degree"":""Baccalauréat (Maths & Physics)""}]";"[{""dates"":""[ 1 Jun 2024 - 1 Aug 2024 ]"",""company"":""Société Générale CIB - Paris, France"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation. Prepared pitchbooks and market analysis for M&A transactions. Conducted comparable companies and precedent transactions analyses."",""country or city"":""Paris, France""},{""dates"":""[ 1 Jan 2024 - 1 May 2024 ]"",""company"":""Student Investment Fund - Paris, France"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs. Built LBO models and investment memos."",""country or city"":""Paris, France""}]"
"hugo 12";"[{""desc"":null,""title"":""Stock market investing""},{""desc"":null,""title"":""Chess""},{""desc"":null,""title"":""Marathon training""}]";"[{""dates"":""1 SEP 2021 - 1 JUN 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris, France"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""1 SEP 2020 - 1 JUN 2021"",""field"":""not found"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris, France"",""level_of_degree"":""Baccalauréat (Maths & Physics)""}]";"[{""dates"":""1 Jun 2024 - 1 Aug 2024"",""company"":""Société Générale CIB Paris, France"",""job title"":""Corporate Finance Intern"",""description"":""Assisted in financial modeling and company valuation. Prepared pitchbooks and market analysis for M&A transactions. Conducted comparable companies and precedent transactions analyses."",""country or city"":""Paris, France""},{""dates"":""1 Jan 2024 - 1 May 2024"",""company"":""Student Investment Fund Paris, France"",""job title"":""Private Equity Analyst (Part-time)"",""description"":""Analyzed investment opportunities in SMEs. Built LBO models and investment memos."",""country or city"":""Paris, France""}]"
"hugo 11";"[{""desc"":null,""title"":""Stock market investing""},{""desc"":null,""title"":""Chess""}]";"[{""dates"":""1 SEP 2021 - 1 JUN 2024"",""field"":""not found"",""university"":""University Paris-Dauphine"",""country or city"":""Paris, France"",""level_of_degree"":""Bachelor in Economics""},{""dates"":""1 SEP 2020 - 1 JUN 2021"",""field"":""not found"",""university"":""Lycée Saint-Louis"",""country or city"":""Paris, France"",""level_of_degree"":""Baccalauréat (Maths & Physics)""}]";"[{""dates"":""1 Jun 2024 - 1 Aug 2024"",""company"":""SOCIÉTÉ GÉNÉRALE CIB"",""job title"":""CORPORATE FINANCE INTERN"",""description"":""Assisted in financial modeling and company valuation. Prepared pitchbooks and market analysis for M&A transactions. Conducted comparable companies and precedent transactions analyses."",""country or city"":""PARIS, FRANCE""},{""dates"":""1 Jan 2024 - 1 May 2024"",""company"":""STUDENT INVESTMENT FUND"",""job title"":""PRIVATE EQUITY ANALYST (PART-TIME)"",""description"":""Analyzed investment opportunities in SMEs. Built LBO models and investment memos."",""country or city"":""PARIS, FRANCE""}]"
"clara 14";"[{""desc"":""National competitions."",""title"":""Debating""},{""desc"":""Long-distance running."",""title"":""Sports""},{""desc"":""Economic podcasts."",""title"":""Culture""}]";"[{""dates"":""1 Sep 2022 - 1 Jun 2025"",""field"":""not found"",""university"":""emlyon business school"",""country or city"":""Lyon"",""level_of_degree"":""Bachelor in Management (Global BBA)""},{""dates"":""1 Sep 2021 - 1 Jun 2022"",""field"":""not found"",""university"":""Lycée du Parc"",""country or city"":""Lyon"",""level_of_degree"":""Baccalauréat (Maths & Economics)""}]";"[{""dates"":""[ 1 Jun 2024 - 1 Dec 2024 ]"",""company"":""Roland Berger"",""job title"":""Strategy Analyst Intern"",""description"":""Conducted market and competitor analysis for industrialclients. Built Excel models and PowerPoint decks for seniorconsultants. Participated in client interviews and synthesis workshops."",""country or city"":""Paris""},{""dates"":""[ 1 Sep 2023 - 1 May 2024 ]"",""company"":""emlyon Junior Conseil"",""job title"":""Student Consultant"",""description"":""Delivered consulting missions for SMEs (market sizing, pricing). Led a team of 4 students on a retail optimization project."",""country or city"":""Lyon""}]"
